13089021211,31,82,35,22,86,14,35
13089021213,145,434,123,137,356,64,175
13089021503,39,99,29,40,79,17,59
13089021604,26,78,18,30,64,13,34
13089023412,26,66,25,21,75,14,36
13089023504,26,64,25,20,75,15,37
13089023801,7,13,3,5,16,5,5
13121006602,3,7,4,2,9,1,2
13121006802,9,13,1,6,21,4,6
13121007603,0,2,3,0,3,1,2
13121007604,0,2,1,0,1,1,1
13121007808,1,1,1,0,2,1,1
13121010107,0,0,0,0,0,0,0
13121010206,1,2,0,0,4,0,3
13121010400,0,0,0,0,0,0,0
13121011504,16,35,14,13,40,2,18
13121012000,63,114,67,45,129,16,155
