13089021211,33,125,14,18,36,23,31,34,1
13089021213,167,598,68,120,139,41,143,146,1
13089021503,44,130,30,31,26,2,42,44,0
13089021604,35,106,15,22,18,1,30,31,0
13089023412,33,109,11,22,22,3,31,26,0
13089023504,34,109,11,21,21,3,32,28,0
13089023801,5,22,2,3,6,0,5,9,0
13121006602,6,12,2,0,3,0,4,3,0
13121006802,8,26,4,3,6,0,4,8,0
13121007603,2,3,0,0,2,1,1,2,0
13121007604,1,2,0,0,1,1,0,1,0
13121007808,1,3,0,0,0,1,1,1,0
13121010107,0,0,0,0,0,0,0,0,0
13121010206,1,3,0,1,1,0,2,2,0
13121010400,0,0,0,0,0,0,0,0,0
13121011504,24,58,8,13,13,0,15,8,0
13121012000,87,167,104,34,44,12,58,77,0
