13089021211,24,126,32,37,16,12,31,17,27,11,1
13089021213,84,597,134,113,79,58,110,72,159,54,16
13089021503,29,130,42,26,19,21,17,12,43,14,15
13089021604,22,106,29,18,12,14,13,10,31,9,3
13089023412,18,107,26,19,11,6,18,11,33,10,2
13089023504,18,109,27,19,11,7,16,11,33,9,2
13089023801,0,24,8,4,5,3,5,0,3,1,1
13121006602,5,13,3,2,0,2,1,2,1,2,1
13121006802,3,27,7,5,5,4,5,0,3,1,1
13121007603,0,3,2,2,1,2,1,1,2,1,0
13121007604,0,2,1,1,1,1,0,1,1,1,0
13121007808,1,3,1,0,0,0,0,0,1,0,0
13121010107,0,0,0,0,0,0,0,0,0,0,0
13121010206,0,3,1,1,0,2,0,0,2,1,0
13121010400,0,0,0,0,0,0,0,0,0,0,0
13121011504,9,56,10,11,6,2,11,5,18,3,2
13121012000,36,168,70,63,21,30,34,22,61,16,83
